factor,ic,abs_ic,top_return,bottom_return,long_short_return,period
amount_change_5d,-0.012682195214741255,0.012682195214741255,0.00445829153931239,0.007077988365443782,-0.002619696826131392,10
ma5_position,-0.012221191068316949,0.012221191068316949,0.01155078740622185,0.008006686296140307,0.003544101110081542,10
vol_change_5d,-0.011512211510144251,0.011512211510144251,0.005231695161722063,0.006850830586715384,-0.0016191354249933216,10
body_ratio,0.01140406722187162,0.01140406722187162,0.010424662729041762,0.00863920431114901,0.0017854584178927518,10
ma10_position,-0.010582848785644404,0.010582848785644404,0.00969717812725581,0.005547837393375186,0.004149340733880625,10
vol_price_divergence,-0.010272939664083382,0.010272939664083382,0.004926549291086542,0.006124586609423635,-0.0011980373183370936,10
momentum_10d,0.010046847643802675,0.010046847643802675,0.012781827463029409,0.0046900318852065555,0.008091795577822854,10
return_10d,0.010046847643802675,0.010046847643802675,0.012781827463029409,0.0046900318852065555,0.008091795577822854,10
return_60d,-0.00841458701802339,0.00841458701802339,0.011923333245184266,-0.00491991994638793,0.016843253191572198,10
ma60,0.0065913910986436465,0.0065913910986436465,0.013806947744555185,0.0023829944210123797,0.011423953323542804,10
price_position_60d,-0.00518365528654148,0.00518365528654148,0.012710046481563129,0.0025017520449303427,0.010208294436632785,10
ma60_position,-0.0013637585021482673,0.0013637585021482673,0.018718896380373298,0.0032006738879599844,0.015518222492413313,10
return_1d,-0.0010155871362744723,0.0010155871362744723,0.01087321421548077,0.006390638308329447,0.004482575907151323,10
high_60d,6.564282896073779e-05,6.564282896073779e-05,0.01214946878450854,0.0060345981406202355,0.006114870643888304,10
volatility_20d,-0.05894526712168667,0.05894526712168667,0.027183985499442294,0.010680767918917283,0.01650321758052501,20
return_20d,0.053994161259682434,0.053994161259682434,0.04201957349138684,-0.002480945843022139,0.044500519334408975,20
momentum_20d,0.053994161259682434,0.053994161259682434,0.04201957349138684,-0.002480945843022139,0.044500519334408975,20
ma20_position,0.047393319824789296,0.047393319824789296,0.036499286591255724,-0.002515313855356955,0.03901460044661268,20
return_10d,0.04008624596600574,0.04008624596600574,0.035877340121072625,0.0038660250873338454,0.03201131503373878,20
momentum_10d,0.04008624596600574,0.04008624596600574,0.035877340121072625,0.0038660250873338454,0.03201131503373878,20
volatility_10d,-0.03451079177519853,0.03451079177519853,0.02548832982508641,0.006240459750889366,0.019247870074197045,20
return_60d,0.03065119873659977,0.03065119873659977,0.024012962299350925,-0.01609640060641412,0.04010936290576504,20
amplitude,-0.02935439717553414,0.02935439717553414,0.022813157977800536,0.005146619102770769,0.017666538875029766,20
ma10_position,0.024326636195601135,0.024326636195601135,0.027564663796542224,0.007860249981669535,0.019704413814872687,20
volatility_5d,-0.023597832584648593,0.023597832584648593,0.027645992645374345,0.004074205319217419,0.023571787326156925,20
ma5_position,0.022972348174970174,0.022972348174970174,0.027136872677787565,0.014517197113415632,0.012619675564371933,20
ma60_position,0.021063281948368533,0.021063281948368533,0.0360958033130253,0.003343948122328029,0.032751855190697274,20
return_1d,0.017051142273829246,0.017051142273829246,0.023382074252871348,0.014965510918142794,0.008416563334728554,20
ma5,0.01689179583076717,0.01689179583076717,0.028806652584447822,0.0056557950485624,0.023150857535885423,20
ma10,0.01602812103818358,0.01602812103818358,0.028322010105789833,0.005314468651320006,0.02300754145446983,20
return_5d,0.015110768555678788,0.015110768555678788,0.026370783222674422,0.012940550039156532,0.01343023318351789,20
reversal_5d,-0.015110768555678788,0.015110768555678788,0.012940550039156532,0.026370783222674422,-0.01343023318351789,20
momentum_5d,0.015110768555678788,0.015110768555678788,0.026370783222674422,0.012940550039156532,0.01343023318351789,20
low_60d,0.014537537497659672,0.014537537497659672,0.029289925450258106,0.00284274208219632,0.026447183368061785,20
price_position_60d,0.01405752390594046,0.01405752390594046,0.02322788372806215,0.003952878001113935,0.019275005726948215,20
ma20,0.01303358375146492,0.01303358375146492,0.029306096103511203,0.006393639091203748,0.022912457012307454,20
body_ratio,0.01161838787826731,0.01161838787826731,0.01925398387496282,0.014804834843426089,0.004449149031536731,20
high_60d,-0.008285172219410546,0.008285172219410546,0.024603097672803016,0.01128682747729119,0.013316270195511825,20
amount_change_5d,0.00645375290850986,0.00645375290850986,0.020280918390511264,0.013415038266611095,0.006865880123900169,20
vol_change_5d,0.004084934376120141,0.004084934376120141,0.0196020280339082,0.013820954977299424,0.005781073056608776,20
vol_price_divergence,0.001835581516055685,0.001835581516055685,0.018484326697764158,0.012575835144387485,0.005908491553376673,20
ma60,-0.0013269371226053012,0.0013269371226053012,0.0312754881626945,0.004463910112219118,0.026811578050475383,20
